date,z_Money_supply,z_top_tier_home_value,z_mid_tier_home_value,z_bottom_tier_home_value,z_single_family_home_value,z_condo_coop_value
2008-02-01,-0.3085961046272076,0.7323059813098971,0.6791270258704056,0.6544314606372993,0.6653426207395131,0.8065231590808526
2008-03-01,-0.2923255771032724,0.7016940505880355,0.6501152568795096,0.6272511138608889,0.6366893969827373,0.77597921537792
2008-04-01,-0.2817175887935943,0.6670876698736045,0.6176192346031809,0.5971379524022732,0.6043683587987652,0.7430889723966391
2008-05-01,-0.2787255920908645,0.6341846521705928,0.5866234513857148,0.568278720989797,0.5731097430295005,0.7117549563703368
2008-06-01,-0.27439832413237114,0.5999406265347359,0.5540345156884412,0.5378826053666239,0.5402329226736104,0.6813277099766444
2008-07-01,-0.2629248822309944,0.5642345744937158,0.5206390646954181,0.5065982020702541,0.5066281059516874,0.6521357729375199
2008-08-01,-0.25921579540942863,0.5251524712509674,0.48338346309136065,0.47177216162909874,0.469372652733547,0.6183886983613686
2008-09-01,-0.241931450820932,0.4875508833466523,0.4479562010638773,0.43827576153458725,0.4340511301245766,0.5845314972704154
2008-10-01,-0.21520129846018146,0.45185057408036083,0.41391214292079653,0.4057454527861407,0.40012841295846585,0.5476246590643437
2008-11-01,-0.20266458500328918,0.4153737296166912,0.37968538482980035,0.3733913362116788,0.36606000954228246,0.5102171263220049
2008-12-01,-0.1590951784726297,0.3760827854685879,0.34294996437329256,0.3390970123510234,0.3294747130744752,0.46828310470639317
2009-01-01,-0.13901665514522057,0.33732717997928136,0.3077049555945851,0.30614349348962044,0.2941227485625047,0.43068212777576403
2009-02-01,-0.13179629946590568,0.3031223732927876,0.2762892751863107,0.2757219085026834,0.26254927653935195,0.39721523187449925
2009-03-01,-0.11550104469649347,0.2691276681207349,0.2451000712415884,0.245478609062095,0.23131653638763744,0.3658657087733215
2009-04-01,-0.11468504559574874,0.23504205902676714,0.21311194588648288,0.21464114076547583,0.1994386453344827,0.3310399725820308
2009-05-01,-0.10041742495545933,0.20022781788071542,0.18049777168784675,0.18292724723905676,0.16721002007033325,0.295286177384149
2009-06-01,-0.09806833663513434,0.16978186735526257,0.1525567405335125,0.15490676035382533,0.13962421989804238,0.2621110247559846
2009-07-01,-0.09685670160675627,0.14517575845756125,0.12977955142784525,0.13107790273245448,0.11732487362390143,0.23148507753845016
2009-08-01,-0.0969556105886646,0.12514271912320227,0.11214587956001257,0.11226581198182187,0.09999212382424355,0.20561559699956125
2009-09-01,-0.09715342855248127,0.10742948064363442,0.09628448652678948,0.09605089854433882,0.08448436610944764,0.18174074682063326
2009-10-01,-0.09050179951914007,0.09227765976046587,0.08312785678116831,0.08318014745862042,0.07156351782317608,0.16299295612672157
2009-11-01,-0.08305889863053133,0.08319931338910735,0.07520207395508785,0.07538826662377777,0.06429703557702796,0.14832457745243965
2009-12-01,-0.08434471539534097,0.0790729196454679,0.07206378915293296,0.07157414217625648,0.06176165994143957,0.1382893973531231
2010-01-01,-0.09371634143116374,0.07627268666098645,0.06995626261438508,0.06925991902766417,0.06031371256945145,0.12917701962484673
