date,rolling_z_Money_supply,rolling_z_top_tier_home_value,rolling_z_mid_tier_home_value,rolling_z_bottom_tier_home_value,rolling_z_single_family_home_value,rolling_z_condo_coop_value
2008-11-01,1.890773094910437,-2.5613322826588756,-2.534472331652928,-2.4329012412845366,-2.536834819389966,-2.5323677519774255
2008-12-01,2.1522575338061603,-2.5447323745038584,-2.5462119021285328,-2.514210967639636,-2.545592533293285,-2.601173753540023
2009-01-01,2.1570867521785884,-2.4900158968386084,-2.5003602372186546,-2.5099489175728738,-2.49940523109642,-2.568761265085777
2009-02-01,2.053336346518523,-2.4004220548714756,-2.4147234418695995,-2.4505082624044148,-2.414121819124975,-2.4839034168869625
2009-03-01,2.0362171442167942,-2.3139805097702006,-2.3280196555554995,-2.37577844376761,-2.327346034660749,-2.3854904577618217
2009-04-01,1.8999052854204836,-2.2352059411184904,-2.2503027302839214,-2.3013368700314776,-2.249041494304344,-2.31001273651906
2009-05-01,1.8864611942462846,-2.1671215843338425,-2.1814770266717933,-2.2331909050738092,-2.1787396660180165,-2.242900332090274
2009-06-01,1.783920081153568,-2.089950699222563,-2.1002845878754246,-2.1527734402291396,-2.0966498194577983,-2.170508428297935
2009-07-01,1.6847726181780553,-2.0024898782656164,-2.0101356302045925,-2.0641752593058826,-2.0053728491943374,-2.0965831856741435
2009-08-01,1.5873174103218677,-1.9124432375445746,-1.9144015148900708,-1.9679480624892316,-1.9093743324534567,-2.014845999211024
2009-09-01,1.4996841380504762,-1.8278949467321013,-1.8265351724968943,-1.8759776251759852,-1.8210883148541022,-1.9373613108400627
2009-10-01,1.471043443406739,-1.7467998178589226,-1.7415574354524124,-1.7847164025085962,-1.7361323411662966,-1.8530417579319032
2009-11-01,1.4514225768513942,-1.657379593844075,-1.6502268506574902,-1.6876730382446472,-1.6433045168628813,-1.76715305730629
2009-12-01,1.3667877186890849,-1.5640450735291227,-1.5546201382725835,-1.5893565302081232,-1.5464847741195384,-1.6782862100886147
2010-01-01,1.2252321059744513,-1.4779679454742454,-1.467180287495296,-1.498084865016979,-1.4576948575760738,-1.5983456570104844
2010-02-01,1.265337233928798,-1.4060526832843894,-1.3934653146893525,-1.4209144060124153,-1.3833763341974459,-1.5300981812091854
2010-03-01,1.2001803817185235,-1.341858409073046,-1.3280020785164501,-1.3511150979035014,-1.3181027438402404,-1.469262209562315
2010-04-01,1.2054827639607038,-1.2705757720019841,-1.2553763485519787,-1.2779038868324708,-1.2455973914407001,-1.4003987953724857
2010-05-01,1.2638221039134616,-1.2055620772679243,-1.1899346546603298,-1.2108303524910236,-1.1802799076954857,-1.3391048698452013
2010-06-01,1.246698565860478,-1.1564895899343934,-1.1426364308260428,-1.1604610358016156,-1.1321114551245108,-1.2975554513482428
2010-07-01,1.2129145430615418,-1.139457705455496,-1.128642289417507,-1.1418922288466637,-1.1174714931480618,-1.2875806083480454
2010-08-01,1.268385877972592,-1.1360116491263963,-1.1305409819367485,-1.1416629670592247,-1.1183691912089748,-1.2922519009380176
2010-09-01,1.2824344408203818,-1.1474333359226976,-1.1474648435609394,-1.1591979049990826,-1.1344603298834,-1.3094365833894632
2010-10-01,1.3420765403102963,-1.1656942356192037,-1.1719236727909375,-1.18364403580889,-1.1573934955116656,-1.3312409302094073
2010-11-01,1.3385954060508567,-1.1976724222599469,-1.2093061347766363,-1.219274439460468,-1.1942280755341648,-1.3638137955874554
2010-12-01,1.3667256126529193,-1.2302831670657848,-1.2486148718706915,-1.2568180297806533,-1.2332657855655247,-1.390825123752884
2011-01-01,1.373359624559084,-1.2651203565353237,-1.2919870436668799,-1.2997729754330887,-1.2781123985323064,-1.4248422361388473
2011-02-01,1.4867830950193237,-1.2963052523416672,-1.3321663729406787,-1.336815102791033,-1.3201268976006744,-1.450509042334826
2011-03-01,1.575106443895593,-1.3402350174570323,-1.383384715587718,-1.3847487273443981,-1.3725296059321868,-1.4922924097219272
2011-04-01,1.6731251629831592,-1.4002531165185494,-1.4486918086641174,-1.4467590372427832,-1.4371236287157143,-1.5449214269261982
2011-05-01,1.795534011913357,-1.4687549659584638,-1.522381166013488,-1.5183340311770503,-1.510175344424134,-1.6074148452848762
2011-06-01,1.9290129798618834,-1.5203508971426154,-1.5794332063863294,-1.5732926618352312,-1.5688078974731583,-1.6420332032103426
2011-07-01,2.272051567061905,-1.5462683428519612,-1.6102248116728302,-1.6011091212907904,-1.6011689781017586,-1.6512393211499845
2011-08-01,2.6054840500583984,-1.5617067287842674,-1.6266699646961207,-1.6143976848322419,-1.619107386654955,-1.646899061488235
2011-09-01,2.458788965224514,-1.5711611196568644,-1.6335594273605396,-1.618656940297887,-1.6273111664580147,-1.6406369469183455
2011-10-01,2.3452720724998435,-1.583442254613496,-1.639388984332191,-1.6250676097169365,-1.6361979510220679,-1.6339791105455923
2011-11-01,2.281022961210429,-1.5910010949098237,-1.6401908958896305,-1.6289980592980446,-1.641102098012623,-1.6191230432950676
